chroma_0,chroma_1,chroma_2,chroma_3,chroma_4,chroma_5,chroma_6,chroma_7,chroma_8,chroma_9,chroma_10,chroma_11,label,class
0.222508154,0.592227677,0.823698229,0.600013179,0.459757243,0.328120797,0.382007214,0.504391134,0.622674984,0.317203449,0.236857985,0.236227459,1,drone
0.692609894,0.46060193,0.420200151,0.35377445,0.368037484,0.391504719,0.310335988,0.239210925,0.222276505,0.302275438,0.438962352,0.848464309,1,drone
0.139134824,0.226035478,0.288621733,0.432652049,0.404848992,0.307536491,0.264324596,0.253760605,0.375206735,0.858659709,0.402941434,0.145778305,1,drone
0.02566923,0.028396073,0.035029074,0.03888588,0.04099205,0.037809848,0.088914053,0.500375892,0.748977084,0.416726073,0.175414736,0.043030265,1,drone
0.109173099,0.404144834,0.439969678,0.125068969,0.105751028,0.22932452,0.450840055,0.746281817,0.474951125,0.095592172,0.049535179,0.051793064,1,drone
0.514838473,0.517047928,0.481575128,0.406491327,0.364303543,0.489478514,0.464213451,0.538754936,0.84171617,0.654821041,0.433244806,0.469249718,1,drone
0.255694041,0.165541568,0.107437178,0.067660678,0.078701341,0.130835031,0.198551472,0.490517341,0.820225563,0.601098686,0.268333041,0.250743756,1,drone
0.169042105,0.170487527,0.287514304,0.20693628,0.0775404,0.071754988,0.159083903,0.438195446,0.747059624,0.387916833,0.274194124,0.262052191,1,drone
0.054937381,0.035719137,0.060642963,0.203557513,0.24689854,0.161872153,0.270400449,0.719133149,0.897820297,0.370837055,0.173120449,0.11825859,1,drone
0.09065239,0.033671134,0.011520074,0.011252526,0.012222802,0.015903159,0.118027628,0.777357256,0.860654488,0.468906561,0.230711598,0.094070806,1,drone
0.044143191,0.033035231,0.051987147,0.099537148,0.142587288,0.199992614,0.302473963,0.800782199,0.906814126,0.56888919,0.231208649,0.085310496,1,drone
0.306621499,0.119667349,0.126715643,0.209579744,0.356805598,0.572474756,0.418963068,0.568938678,0.609066744,0.384873267,0.287356741,0.320307552,1,drone
0.945738423,0.588205484,0.318960217,0.392843253,0.355669029,0.25997517,0.234470119,0.281137004,0.329174423,0.398741486,0.42735847,0.625800357,1,drone
0.752294087,0.605264108,0.53783536,0.571829621,0.511854347,0.488315637,0.505813079,0.512649429,0.409950272,0.43943932,0.494377953,0.630189696,1,drone
0.260094678,0.298609298,0.378936298,0.438165245,0.506865661,0.606591652,0.51107927,0.488153439,0.528008292,0.799557568,0.561504286,0.331561927,1,drone
0.512515993,0.682079613,0.811043799,0.615707199,0.613856589,0.580210277,0.373303745,0.418962886,0.579284628,0.532961731,0.5656724,0.510484126,1,drone
0.301818263,0.389077519,0.521027908,0.36280616,0.414497917,0.658118678,0.41927117,0.317890075,0.427685903,0.374577762,0.273767448,0.310184028,1,drone
0.351086535,0.324027093,0.396382729,0.440081184,0.635702451,0.768954554,0.755958353,0.649253912,0.520026548,0.453980293,0.426938242,0.391882628,1,drone
0.350402103,0.395448755,0.516078336,0.594994497,0.760395078,0.879454073,0.916979754,0.932733372,0.698930568,0.543807608,0.457330488,0.393384445,1,drone
0.285190319,0.29674138,0.28274583,0.242048751,0.220374788,0.222323551,0.248115694,0.589678034,0.960098324,0.651313447,0.334859938,0.275063011,1,drone
0.024991571,0.016235355,0.010198636,0.007781019,0.008080082,0.012399773,0.054304963,0.302076205,1,0.574689798,0.070259727,0.033223275,1,drone
0.028378243,0.015604755,0.009523592,0.009357262,0.037868403,0.183189637,0.570608444,0.487671176,0.551459359,0.40422257,0.051272317,0.024423501,1,drone
0.586624377,0.554308457,0.54690139,0.514397704,0.484514856,0.532156694,0.630691994,0.768817242,0.65382362,0.675559016,0.608447369,0.609337561,1,drone
0.600289173,0.560447096,0.572644623,0.545091792,0.56307725,0.594507131,0.616413236,0.631856137,0.520155727,0.486952802,0.572665751,0.593732233,1,drone
0.433710352,0.463242316,0.576510401,0.64664362,0.78012493,0.891458397,0.918361211,0.949892262,0.764680117,0.623852532,0.497383874,0.447494456,1,drone
0.390942419,0.356640528,0.447867874,0.540819656,0.537380996,0.566516162,0.578856556,0.707639989,0.797343936,0.732280482,0.610902211,0.525552808,1,drone
0.410928379,0.397191146,0.46838964,0.513806736,0.631334441,0.719857271,0.753449471,0.799979122,0.737912901,0.693084967,0.644266493,0.523511319,1,drone
0.809885018,0.684478685,0.590754757,0.545402443,0.468912281,0.444119263,0.453893769,0.548412796,0.625946937,0.771650198,0.73724612,0.752998033,1,drone
0.481618734,0.450187417,0.48578909,0.484006047,0.487575277,0.525066411,0.618280265,0.666148654,0.682501479,0.892393401,0.558569215,0.474460482,1,drone
0.438154938,0.480994717,0.512364841,0.50200898,0.561551901,0.666737533,0.769793903,0.863181832,0.831253973,0.749827391,0.582509418,0.480334885,1,drone
0.581000705,0.556522829,0.630143745,0.591804078,0.485607866,0.566318057,0.609588913,0.638670609,0.661911435,0.842224743,0.71873809,0.599863643,1,drone
0.355164918,0.358993829,0.443535252,0.517197631,0.541717968,0.636647577,0.72811897,0.788526168,0.69828315,0.718200589,0.492133511,0.340238243,1,drone
0.339995421,0.321073094,0.363476861,0.389494925,0.391978636,0.551539139,0.794993242,0.695998551,0.499000343,0.39254758,0.33418328,0.33031377,1,drone
