chroma_0,chroma_1,chroma_2,chroma_3,chroma_4,chroma_5,chroma_6,chroma_7,chroma_8,chroma_9,chroma_10,chroma_11,label,Class
0.715506718,0.673243328,0.686408601,0.755572842,0.826542796,0.832659347,0.784270578,0.81109848,0.895761742,0.924195108,0.852049031,0.766556542,0,noise
0.625855005,0.586985707,0.610979788,0.716238769,0.829909154,0.856534127,0.798759459,0.776533452,0.802020098,0.797136145,0.728087817,0.663187213,0,noise
0.588862222,0.549742419,0.582692934,0.675897642,0.772640128,0.80106331,0.762492828,0.782589618,0.844975314,0.839755548,0.73769839,0.642437969,0,noise
0.699916661,0.604397538,0.57282229,0.601266683,0.643520322,0.66139396,0.661891837,0.754910769,0.885178367,0.910950456,0.824949271,0.756779698,0,noise
0.797988275,0.744715456,0.72289922,0.727186512,0.725479756,0.693578625,0.622967534,0.614421594,0.651322829,0.688831281,0.720887247,0.776232593,0,noise
0.808892836,0.760620151,0.739844722,0.756875594,0.772732037,0.747437569,0.685098157,0.690333383,0.746621509,0.791210307,0.797272858,0.807821744,0,noise
0.547368248,0.500114607,0.520105435,0.621463854,0.735774607,0.775506973,0.757983067,0.797514815,0.877985667,0.879072359,0.758781995,0.625643081,0,noise
0.589939799,0.562481396,0.608843595,0.69966103,0.778290389,0.798244235,0.782339683,0.835125926,0.9274695,0.93227282,0.806095655,0.665545193,0,noise
0.493826813,0.446632647,0.471785741,0.564344304,0.667216957,0.713906139,0.732384933,0.831499227,0.96447974,0.967550932,0.796028137,0.601525141,0,noise
0.427973448,0.374597854,0.404766611,0.510689223,0.627801171,0.687430338,0.718172312,0.825680199,0.962670277,0.954044604,0.760659935,0.548443695,0,noise
0.569002503,0.535280567,0.571287284,0.679596061,0.793458164,0.827667824,0.795082396,0.821108958,0.894159282,0.892917867,0.77261069,0.640291708,0,noise
0.843050636,0.771565552,0.721346357,0.721123863,0.739225749,0.731833452,0.709669936,0.753352402,0.830284696,0.866191169,0.848572853,0.84395147,0,noise
0.898259453,0.845083389,0.794341049,0.799004062,0.818685158,0.78291229,0.689251451,0.645003416,0.662131289,0.722538975,0.794220669,0.866390595,0,noise
0.551784361,0.555074523,0.630671829,0.773794493,0.903484437,0.928006196,0.843543581,0.771291478,0.746711792,0.711981433,0.634211072,0.569655298,0,noise
0.554914204,0.545280749,0.612091082,0.763016789,0.909761619,0.943803344,0.86028653,0.786094187,0.760018712,0.724321988,0.645383166,0.580266793,0,noise
0.782467517,0.768450799,0.792311726,0.852254273,0.892896299,0.861691471,0.74725651,0.664668026,0.645704403,0.665271323,0.697834499,0.748567727,0,noise
0.576812108,0.550774867,0.607419822,0.747618738,0.894068894,0.938301561,0.881180071,0.862713691,0.89213672,0.870282034,0.755309827,0.638793272,0,noise
0.869754027,0.795147803,0.731367763,0.716608582,0.718701192,0.695968991,0.658081545,0.699340906,0.787053651,0.845436189,0.854005411,0.867998538,0,noise
0.8073419,0.713364824,0.659723028,0.67419367,0.694013004,0.685084051,0.653664357,0.680326316,0.747926565,0.777569499,0.77474017,0.806375358,0,noise
0.763093088,0.767603619,0.820297111,0.892272415,0.933669751,0.897596991,0.76082997,0.649588046,0.603273146,0.611792502,0.65132588,0.718220664,0,noise
0.703298924,0.667213917,0.698670562,0.757663078,0.787847693,0.77359632,0.717499892,0.726471102,0.785323271,0.797330974,0.748335105,0.719820484,0,noise
0.816930252,0.719432924,0.670380784,0.682304752,0.700151588,0.695317177,0.674614002,0.733097748,0.837186014,0.872055145,0.839287318,0.835297767,0,noise
